Player,Team,Age,GP,Min,PTS,AST,REB,FG%,3P%,FT%,YEAR,MVP
Michael Redd,MIL,24,82,36.8,21.7,2.3,5.0,44.0,35.0,86.8,2004,0
Shaquille O'Neal,LAL,32,67,36.8,21.5,2.9,11.5,58.4,0.0,49.0,2004,0
Carmelo Anthony,DEN,20,82,36.5,21.0,2.8,6.1,42.6,32.2,77.7,2004,0
LeBron James,CLE,19,79,39.6,20.9,5.9,5.5,41.7,29.0,75.4,2004,0
Tracy McGrady,ORL,24,75,39.3,32.1,5.5,6.5,45.7,38.6,79.3,2003,0
Kobe Bryant,LAL,24,82,41.5,30.0,5.9,6.9,45.1,38.3,84.3,2003,0
Allen Iverson,PHI,28,82,42.5,27.6,5.5,4.2,41.4,27.7,77.4,2003,0
Shaquille O'Neal,LAL,31,67,37.8,27.5,3.1,11.1,57.4,0.0,62.2,2003,0
Paul Pierce,BOS,25,79,39.2,25.9,4.4,7.3,41.6,30.2,80.2,2003,0
Dirk Nowitzki,DAL,25,80,39.0,25.1,3.0,9.9,46.3,37.9,88.1,2003,0
Tim Duncan,SAS,27,81,39.3,23.3,3.9,12.9,51.3,27.3,71.0,2003,1
Chris Webber,SAC,30,67,39.1,23.0,5.4,10.5,46.1,23.8,60.7,2003,0
Kevin Garnett,MIN,27,82,40.5,23.0,6.0,13.4,50.2,28.2,75.1,2003,0
Ray Allen,OKC,27,76,37.9,22.5,4.4,5.0,43.9,37.7,91.6,2003,0
Allan Houston,NYK,32,82,37.9,22.5,2.7,2.8,44.5,39.6,91.9,2003,0
Stephon Marbury,PHX,26,81,40.1,22.3,8.1,3.2,43.9,30.1,80.3,2003,0
Antawn Jamison,GSW,27,82,39.4,22.2,1.9,7.0,47.0,31.1,78.9,2003,0
Jalen Rose,CHI,30,82,40.9,22.1,4.8,4.3,40.6,37.0,85.4,2003,0
Jamal Mashburn,NOP,30,82,40.6,21.6,5.6,6.1,42.2,38.9,84.8,2003,0
Allen Iverson,PHI,27,60,43.7,31.4,5.5,4.5,39.8,29.1,81.2,2002,0
Shaquille O'Neal,LAL,30,67,36.1,27.2,3.0,10.7,57.9,0.0,55.5,2002,0
Paul Pierce,BOS,24,82,40.2,26.1,3.2,6.9,44.2,40.4,80.9,2002,0
Tracy McGrady,ORL,23,76,38.3,25.6,5.3,7.8,45.1,36.4,74.8,2002,0
Tim Duncan,SAS,26,82,40.6,25.5,3.7,12.7,50.8,10.0,79.9,2002,1
Kobe Bryant,LAL,23,80,38.3,25.2,5.5,5.5,46.9,25.0,82.9,2002,0
Vince Carter,TOR,25,60,39.8,24.7,4.0,5.2,42.8,38.7,79.8,2002,0
Chris Webber,SAC,29,54,38.4,24.5,4.8,10.1,49.5,26.3,74.9,2002,0
Dirk Nowitzki,DAL,24,76,38.0,23.4,2.4,9.9,47.7,39.7,85.3,2002,0
Michael Jordan,WAS,39,60,34.8,22.9,5.2,5.7,41.6,18.9,79.0,2002,0
Karl Malone,UTA,38,80,38.0,22.4,4.3,8.6,45.4,36.0,79.7,2002,0
Antoine Walker,BOS,25,81,42.1,22.1,5.0,8.8,39.4,34.4,74.1,2002,0
Gary Payton,OKC,33,82,40.2,22.1,9.0,4.8,46.7,31.4,79.7,2002,0
Ray Allen,MIL,26,69,36.6,21.8,3.9,4.5,46.2,43.4,87.3,2002,0
Cuttino Mobley,HOU,26,74,42.1,21.7,2.5,4.1,43.8,39.5,85.0,2002,0
Allen Iverson,PHI,26,71,41.9,31.1,4.6,3.8,42.0,32.0,81.4,2001,1
Jerry Stackhouse,DET,26,80,40.1,29.8,5.1,3.9,40.2,35.1,82.2,2001,0
Shaquille O'Neal,LAL,29,74,39.5,28.7,3.7,12.7,57.2,0.0,51.3,2001,0
Kobe Bryant,LAL,22,68,41.0,28.5,5.0,5.9,46.4,30.5,85.3,2001,0
Vince Carter,TOR,24,75,39.7,27.6,3.9,5.5,46.0,40.8,76.5,2001,0
Chris Webber,SAC,28,70,40.5,27.1,4.2,11.1,48.1,7.1,70.3,2001,0
Tracy McGrady,ORL,22,77,40.2,26.8,4.6,7.5,45.7,35.5,73.3,2001,0
Paul Pierce,BOS,23,82,38.1,25.3,3.1,6.4,45.4,38.3,74.5,2001,0
Antawn Jamison,GSW,25,82,41.4,24.9,2.0,8.7,44.2,30.2,71.5,2001,0
Stephon Marbury,BKN,24,67,38.2,23.9,7.6,3.1,44.1,32.8,79.0,2001,0
Antoine Walker,BOS,24,81,41.9,23.4,5.5,8.9,41.3,36.7,71.6,2001,0
Karl Malone,UTA,37,81,35.7,23.2,4.5,8.3,49.8,40.0,79.3,2001,0
Gary Payton,OKC,32,79,41.1,23.1,8.1,4.6,45.6,37.5,76.6,2001,0
Tim Duncan,SAS,25,82,38.7,22.2,3.0,12.2,49.9,25.9,61.8,2001,0
Glenn Robinson,MIL,28,76,37.0,22.0,3.3,6.9,46.8,29.9,82.0,2001,0
Shaquille O'Neal,LAL,28,79,40.1,29.7,3.8,13.6,57.4,0.0,52.4,2000,1
Allen Iverson,PHI,25,70,40.8,28.4,4.7,3.8,42.1,34.1,71.3,2000,0
Grant Hill,DET,27,74,37.5,25.8,5.2,6.6,48.9,34.7,79.5,2000,0
Vince Carter,TOR,23,82,38.1,25.7,3.9,5.8,46.5,40.3,79.1,2000,0
Karl Malone,UTA,36,82,35.9,25.5,3.7,9.5,50.9,25.0,79.7,2000,0
Chris Webber,SAC,27,75,38.4,24.5,4.6,10.5,48.3,28.4,75.1,2000,0
Gary Payton,OKC,31,82,41.8,24.2,8.9,6.5,44.8,34.0,73.5,2000,0
Jerry Stackhouse,DET,25,82,38.4,23.6,4.5,3.8,42.8,28.8,81.5,2000,0
Tim Duncan,SAS,24,74,38.9,23.2,3.2,12.4,49.0,9.1,76.1,2000,0
Kevin Garnett,MIN,24,81,40.0,22.9,5.0,11.8,49.7,37.0,76.5,2000,0
Michael Finley,DAL,27,82,42.3,22.6,5.3,6.3,45.7,40.1,82.0,2000,0
Kobe Bryant,LAL,21,66,38.2,22.5,4.9,6.3,46.8,31.9,82.1,2000,0
Stephon Marbury,BKN,23,74,38.9,22.2,8.4,3.2,43.2,28.3,81.3,2000,0
Ray Allen,MIL,24,82,37.5,22.1,3.8,4.4,45.5,42.3,88.7,2000,0
Alonzo Mourning,MIA,30,79,34.7,21.7,1.6,9.5,55.1,0.0,71.1,2000,0
Allen Iverson,PHI,24,48,41.5,26.8,4.6,4.9,41.2,29.1,75.1,1999,0
Shaquille O'Neal,LAL,27,49,34.8,26.3,2.3,10.7,57.6,0.0,54.0,1999,0
Karl Malone,UTA,35,49,37.4,23.8,4.1,9.4,49.3,0.0,78.8,1999,1
Shareef Abdur-Rahim,MEM,22,50,40.4,23.0,3.4,7.5,43.2,30.6,84.1,1999,0
Keith Van Horn,BKN,23,42,37.5,21.8,1.5,8.5,42.8,30.2,85.9,1999,0
Gary Payton,OKC,30,50,40.2,21.7,8.7,4.9,43.4,29.5,72.1,1999,0
Tim Duncan,SAS,23,50,39.3,21.7,2.4,11.4,49.5,14.3,69.0,1999,0
Stephon Marbury,BKN,22,49,38.6,21.3,8.9,2.9,42.8,33.5,79.9,1999,0
Antonio McDyess,DEN,24,50,38.7,21.2,1.6,10.7,47.1,11.1,68.0,1999,0
Grant Hill,DET,26,50,37.0,21.1,6.0,7.1,47.9,0.0,75.2,1999,0
Kevin Garnett,MIN,23,47,37.9,20.8,4.3,10.4,46.0,28.6,70.4,1999,0
Shawn Kemp,CLE,29,42,35.0,20.5,2.4,9.2,48.2,50.0,78.9,1999,0
Michael Finley,DAL,26,50,41.1,20.2,4.4,5.3,44.4,33.1,82.3,1999,0
Alonzo Mourning,MIA,29,46,38.2,20.1,1.6,11.0,51.2,0.0,65.2,1999,0
Chris Webber,SAC,26,42,41.0,20.0,4.1,13.0,48.6,11.8,45.4,1999,0
Michael Jordan,CHI,35,82,38.8,28.7,3.5,5.8,46.5,23.8,78.4,1998,1
Shaquille O'Neal,LAL,26,60,36.2,28.3,2.4,11.4,58.4,0.0,52.7,1998,0
Karl Malone,UTA,34,81,37.4,27.0,3.9,10.3,53.0,33.3,76.1,1998,0
Glenn Robinson,MIL,25,56,40.9,23.4,2.8,5.5,47.0,38.5,80.8,1998,0
Mitch Richmond,SAC,33,70,36.7,23.2,4.0,3.3,44.5,38.9,86.4,1998,0
Antoine Walker,BOS,21,82,39.9,22.4,3.3,10.2,42.3,31.2,64.5,1998,0
Shareef Abdur-Rahim,MEM,21,82,35.9,22.3,2.6,7.1,48.4,41.2,78.4,1998,0
Glen Rice,CHH,31,82,40.2,22.3,2.2,4.3,45.7,43.3,84.9,1998,0
Allen Iverson,PHI,23,80,39.4,22.0,6.2,3.7,46.1,29.8,72.9,1998,0
Chris Webber,WAS,25,71,39.6,21.9,3.8,9.5,48.2,31.7,58.9,1998,0
David Robinson,SAS,32,73,33.7,21.6,2.7,10.6,51.1,25.0,73.5,1998,0
Michael Finley,DAL,25,82,41.4,21.5,4.9,5.3,44.9,35.7,78.4,1998,0
Latrell Sprewell,GSW,27,14,39.1,21.4,4.9,3.6,39.7,18.8,74.5,1998,0
Grant Hill,DET,25,81,40.7,21.1,6.8,7.7,45.2,14.3,74.0,1998,0
Tim Duncan,SAS,22,82,39.1,21.1,2.7,11.9,54.9,0.0,66.2,1998,0
Michael Jordan,CHI,34,82,37.9,29.6,4.3,5.9,48.6,37.4,83.3,1997,0
Karl Malone,UTA,33,82,36.6,27.4,4.5,9.9,55.0,0.0,75.5,1997,1
Glen Rice,CHH,30,79,42.5,26.8,2.0,4.0,47.7,47.0,86.7,1997,0
Shaquille O'Neal,LAL,25,51,38.1,26.2,3.1,12.5,55.7,0.0,48.4,1997,0
Mitch Richmond,SAC,32,81,38.6,25.9,4.2,3.9,45.4,42.8,86.1,1997,0
Latrell Sprewell,GSW,26,80,41.9,24.2,6.3,4.6,44.9,35.4,84.3,1997,0
Allen Iverson,PHI,22,76,40.0,23.5,7.5,4.1,41.6,34.1,70.2,1997,0
Hakeem Olajuwon,HOU,34,78,36.5,23.2,3.0,9.2,51.0,31.3,78.7,1997,0
Patrick Ewing,NYK,34,78,37.0,22.4,2.0,10.7,48.8,22.2,75.4,1997,0
LaPhonso Ellis,DEN,27,55,36.4,21.9,2.4,7.0,43.9,36.7,77.3,1997,0
Kendall Gill,BKN,29,82,39.0,21.8,4.0,6.1,44.3,33.6,79.7,1997,0
Gary Payton,OKC,28,82,39.2,21.8,7.1,4.6,47.6,31.3,71.5,1997,0
Reggie Miller,IND,31,81,36.6,21.6,3.4,3.5,44.4,42.7,88.0,1997,0
Grant Hill,DET,24,80,39.3,21.4,7.3,9.0,49.6,30.3,71.1,1997,0
Glenn Robinson,MIL,24,80,38.9,21.1,3.1,6.3,46.5,35.0,79.1,1997,0
